"date","hosp_due_to_omicron_low","hosp_due_to_omicron_middle","hosp_due_to_omicron_high"
2021-12-26,7.00600639679994,16.0969319606577,35.6463773748484
2021-12-27,9.16717782066488,22.7696119547785,47.1221359637633
2021-12-28,12.2228296911133,30.8288085171286,61.3255385126896
2021-12-29,17.6804681230808,40.6246340043476,78.9316325163267
2021-12-30,24.1275886460495,52.5723962523233,100.74205659446
2021-12-31,31.7745129586214,67.1537376303181,127.687734616514
2022-01-01,40.8527312479199,84.9113207307534,160.819416058135
2022-01-02,51.6034246513908,106.43307664528,201.278704392936
2022-01-03,63.2872388639159,130.956127915975,247.650889636487
2022-01-04,76.1117945724982,158.760486845999,300.472198954257
2022-01-05,90.1608956926565,190.017323920507,360.084746463744
2022-01-06,105.400346504333,224.743537304546,426.547653176682
2022-01-07,121.672272226559,262.753857434649,499.543616950083
2022-01-08,138.688828458632,303.618587242964,578.295102949828
2022-01-09,156.033595454099,346.637079568605,661.508499209829
2022-01-10,173.177058725653,390.837496022859,747.365997227108
2022-01-11,189.509665486904,435.01101373952,833.581327380277
2022-01-12,204.391627301831,477.782953275646,917.525690485625
2022-01-13,217.213665055276,517.715197418953,996.415573074475
2022-01-14,227.458942652285,553.426229314627,1067.53884083113
2022-01-15,234.755471219243,583.710522712713,1128.48581894926
2022-01-16,238.907721726378,607.635637009712,1177.34393205846
2022-01-17,239.904315582763,624.604316101265,1212.82983142715
2022-01-18,237.90253008077,634.375258953387,1234.34403843034
2022-01-19,233.195870060178,637.045848777977,1241.95142761996
2022-01-20,226.172156901598,633.005095979484,1236.30116263824
2022-01-21,217.272470744644,622.872219378346,1218.51510315786
2022-01-22,206.971266516545,607.454820368658,1190.11327846429
2022-01-23,195.72909520021,587.661694940773,1152.84238392626
2022-01-24,183.937160943578,564.391702527889,1108.45021542937
2022-01-25,171.918895105354,538.497199362565,1058.61063173581
2022-01-26,159.933636227157,510.758650820091,1004.86981455088
2022-01-27,148.182496835608,481.86957976762,948.612778771003
2022-01-28,136.815367542287,452.429625420872,891.046163539889
2022-01-29,125.938539043056,422.944014724764,833.194197371917
2022-01-30,115.622429642416,393.827772605667,775.90464168339
2022-01-31,105.908686604065,365.412755136435,719.860923830255
2022-02-01,96.8164602777338,337.956281498442,665.59798385887
2022-02-02,88.3478340790059,311.650516128304,613.520068103139
2022-02-03,80.492438498855,286.631969465326,563.919111737822
2022-02-04,73.2307580678934,262.990007516552,516.991408865904
2022-02-05,66.5368478228253,240.774766389119,472.853271087846
2022-02-06,60.3805132971278,220.0043139427,431.555296478366
2022-02-07,54.7290484354355,200.671018030593,393.095125843055
2022-02-08,49.5483511868612,182.746831231819,357.428068369772
2022-02-09,44.8039359484139,166.188005435942,324.476613207861
2022-02-10,40.461677099249,150.939079907712,294.13849599886
2022-02-11,36.4883618958749,136.936237079331,266.293503103018
2022-02-12,32.8520491751968,124.110052827774,240.809068314489
2022-02-13,29.5223428868511,112.387784223128,217.5449427133
2022-02-14,26.4705722211685,101.695230178358,196.35700966976
2022-02-15,23.6698986759482,91.9582236025582,177.100361692317
2022-02-16,21.0953657613126,83.1038073254452,159.631742971383
2022-02-17,18.723903804235,75.0611403200139,143.811449842815
2022-02-18,16.5342999775797,67.7621755633747,129.504770964256
2022-02-19,14.5071419089645,61.1421461672,116.583039622907
2022-02-20,12.6247418141034,55.1398921075682,104.924362111853
2022-02-21,10.8710469245826,49.6980559367446,94.4140783890891
2022-02-22,9.23154097255786,44.7631722333043,84.9450041737292
2022-02-23,7.69314066359715,40.2856722526135,76.4174972292275
2022-02-24,6.2440965989742,36.219826056272,68.739391274602
2022-02-25,4.87392124729349,32.5236491397254,61.8258473080794
2022-02-26,3.57323277659738,29.1587218856589,55.5990383727387
2022-02-27,2.33366102497843,26.0900144053163,49.9878331522031
2022-02-28,1.74416072435361,23.2856947610356,44.9274408120427
2022-03-01,1.5118988052393,20.7169283455904,40.3590326412004
